A minor work yet there 's no denying the potency of Miller 's strange , fleeting brew of hopeful perseverance and hopeless closure .	5-5
For his first attempt at film noir , Spielberg presents a fascinating but flawed look at the near future .	6-6
Especially compared with the television series that inspired the movie .	5-5
Massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner ( and ultimately the victim ) of history .	5-5
Count on his movie to work at the back of your neck long after you leave the theater .	5-5
Life on the rez is no picnic : this picture shows you why .	5-5
`` Feardotcom '' has the makings of an interesting meditation on the ethereal nature of the internet and the otherworldly energies it could channel , but it simply becomes a routine shocker .	5-5
Well-made but mush-hearted .	6-6
Walter Hill 's Undisputed is like a 1940s Warner Bros. .	6-6
It 's not a bad plot ; but , unfortunately , the movie is nowhere near as refined as all the classic dramas it borrows from .	5-5
It 's an interesting effort ( particularly for JFK conspiracy nuts ) , and Barry 's cold-fish act makes the experience worthwhile .	6-6
imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor	6-6
Big time .	5-5
The unexplored story opportunities of `` Punch-Drunk Love '' may have worked against the maker 's minimalist intent but it is an interesting exercise by talented writer\/director Anderson .	6-6
A movie that will thrill you , touch you and make you laugh as well .	6-6
Until ( the ) superfluous ... epilogue that leaks suspension of disbelief like a sieve , Die Another Day is as stimulating & heart-rate-raising as any James Bond thriller .	5-5
Koury frighteningly and honestly exposes one teenager 's uncomfortable class resentment and , in turn , his self-inflicted retaliation .	6-6
The movie should jolt you out of your seat a couple of times , give you a few laughs , and leave you feeling like it was worth your seven bucks , even though it does turn out to be a bit of a cheat in the end .	6-6
This one is strictly a lightweight escapist film .	5-5
but ` Why ? '	5-5
Merci pour le movie .	5-5
Spare yet audacious ...	5-5
The biggest problem with this movie is that it 's not nearly long enough .	5-5
If you 're content with a clever pseudo-bio that manages to have a good time as it doles out pieces of the famous director 's life , Eisenstein delivers .	6-6
You end up simply admiring this bit or that , this performance or that .	5-5
Deserves high marks for political courage but barely gets by on its artistic merits .	5-5
There 's a part of us that can not help be entertained by the sight of someone getting away with something .	6-6
For all its plot twists , and some of them verge on the bizarre as the film winds down , Blood Work is a strong , character-oriented piece .	5-5
Despite modest aspirations its occasional charms are not to be dismissed .	6-6
Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose , and it 's there on the screen in their version of The Quiet American .	6-6
If you 're paying attention , the `` big twists '' are pretty easy to guess - but that does n't make the movie any less entertaining .	5-5
It does n't matter that the film is less than 90 minutes .	6-6
A completely spooky piece of business that gets under your skin and , some plot blips aside , stays there for the duration .	6-6
Who is the audience for Cletis Tout ?	5-5
Great dragons !	6-6
Unintelligible , poorly acted , brain-slappingly bad , Harvard Man is ludicrous enough that it could become a cult classic .	5-5
The Santa Clause 2 is a barely adequate babysitter for older kids , but I 've got to give it thumbs down .	5-5
The movie is our story as much as it is Schmidt 's , no matter if it 's viewed as a self-reflection or cautionary tale .	5-5
They exist for hushed lines like `` They 're back ! ''	5-5
I 'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes .	5-5
Talk to Her is so darned assured , we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .	6-6
Kaufman and Jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .	5-5
The whole mildly pleasant outing -- the R rating is for brief nudity and a grisly corpse -- remains aloft not on its own self-referential hot air , but on the inspired performance of Tim Allen .	5-5
If horses could fly , this is surely what they 'd look like .	5-5
( Kirshner wins , but it 's close . )	5-5
Harry Potter and the Chamber of Secrets is deja vu all over again , and while that is a cliche , nothing could be more appropriate .	5-5
Nair and writer Laura Cahill dare to build a movie around some flawed but rather unexceptional women , emerging with a fine character study that 's short on plot but rich in the tiny revelations of real life .	5-5
The movie should be credited with remembering his victims .	5-5
Oh , and more entertaining , too .	6-6
The film , while not exactly assured in its execution , is notable for its sheer audacity and openness .	6-6
This amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as Greenfingers ...	6-6
A culture-clash comedy that , in addition to being very funny , captures some of the discomfort and embarrassment of being a bumbling American in Europe .	6-6
If Borstal Boy is n't especially realistic , it is an engaging nostalgia piece .	5-5
As Janice , Eileen Walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .	6-6
A powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .	6-6
At its worst , it 's Rambo - meets-John Ford .	5-5
But it does n't need Gangs of New York .	5-5
The movie 's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .	5-5
I 'll go out on a limb .	6-6
For 95 often hilarious minutes , ( Cho ) riffs on the diciness of colonics , on straight versus gay personal ads , on how men would act if they had periods , and on the perils of a certain outré sexual practice .	5-5
Each punch seen through prison bars , the fights become not so much a struggle of man vs. man as Brother-Man vs. The Man .	5-5
